Content,EventTemplate,Output
AirPort: Link Up on awdl0,AirPort: Link Up on awdl0,AirPort: Link Up on en0
mDNS_DeregisterInterface: Frequent transitions for interface en0 (2607:F140:6000:0008:C6B3:01FF:FECD:467F),mDNS_DeregisterInterface: Frequent transitions for interface en0 (<*>),mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (<*>)
ARPT: 626126.086246: wl0: MDNS: IPV4 Addr: 10.105.160.95,ARPT: <*>: wl0: MDNS: IPV4 Addr: <*>,ARPT: <*>: wl0: MDNS: IPV6 Addr: <*>
IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from SUSPENDED to AUTO,<*>::setAwdlOperatingMode Setting the AWDL operation mode from SUSPENDED to AUTO,<*>::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED
AirPort: Link Up on awdl0,AirPort: Link Up on awdl0,AirPort: Link Up on en0
AirPort: Link Up on awdl0,AirPort: Link Up on awdl0,AirPort: Link Up on en0
mDNS_RegisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),mDNS_RegisterInterface: Frequent transitions for interface awdl0 (<*>),mDNS_RegisterInterface: Frequent transitions for interface en0 (<*>)
mDNS_DeregisterInterface: Frequent transitions for interface en0 (10.142.110.44),mDNS_DeregisterInterface: Frequent transitions for interface en0 (<*>),mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (<*>)
AirPort: Link Up on awdl0,AirPort: Link Up on awdl0,AirPort: Link Up on en0
IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from SUSPENDED to AUTO,<*>::setAwdlOperatingMode Setting the AWDL operation mode from SUSPENDED to AUTO,<*>::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED
IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from SUSPENDED to AUTO,<*>::setAwdlOperatingMode Setting the AWDL operation mode from SUSPENDED to AUTO,<*>::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED
AirPort: Link Up on awdl0,AirPort: Link Up on awdl0,AirPort: Link Up on en0
AirPort: Link Up on awdl0,AirPort: Link Up on awdl0,AirPort: Link Up on en0
mDNS_DeregisterInterface: Frequent transitions for interface en0 (10.105.162.32),mDNS_DeregisterInterface: Frequent transitions for interface en0 (<*>),mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (<*>)
"CCFile::captureLog Received Capture notice id: 1499133420.914478, reason = DeauthInd:sts:0_rsn:7","CCFile::captureLog Received Capture notice id: <*>, reason = DeauthInd:sts:<*>_rsn:<*>","CCFile::captureLog Received Capture notice id: <*>, reason = AuthFail:sts:<*>_rsn:<*>"
tcp_connection_tls_session_error_callback_imp 2210 tcp_connection_tls_session_handle_read_error.790 error 60,tcp_connection_tls_session_error_callback_imp <*> tcp_connection_tls_session_handle_read_error.<*> error <*>,tcp_connection_tls_session_error_callback_imp <*> __tcp_connection_tls_session_callback_write_block_invoke.<*> error <*>
"CCFile::captureLog Received Capture notice id: 1499192921.020010, reason = AssocFail:sts:5_rsn:0","CCFile::captureLog Received Capture notice id: <*>, reason = AssocFail:sts:<*>_rsn:<*>","CCFile::captureLog Received Capture notice id: <*>, reason = AuthFail:sts:<*>_rsn:<*>"
ARPT: 712915.870808: wl0: MDNS: IPV4 Addr: 10.105.162.105,ARPT: <*>: wl0: MDNS: IPV4 Addr: <*>,ARPT: <*>: wl0: MDNS: IPV6 Addr: <*>
ARPT: 724509.898718: wl0: MDNS: IPV4 Addr: 10.105.160.226,ARPT: <*>: wl0: MDNS: IPV4 Addr: <*>,ARPT: <*>: wl0: MDNS: IPV6 Addr: <*>
"CCFile::captureLog Received Capture notice id: 1499295963.492254, reason = RoamFail:sts:1_rsn:1","CCFile::captureLog Received Capture notice id: <*>, reason = RoamFail:sts:<*>_rsn:<*>","CCFile::captureLog Received Capture notice id: <*>, reason = AuthFail:sts:<*>_rsn:<*>"
