Log,EventTemplate,LoggingStatement,LogTemplate
"17/06/09 20:10:40 INFO executor.CoarseGrainedExecutorBackend: Registered signal handlers for [TERM, HUP, INT]
","Registered signal handlers for [TERM, HUP, INT]","Logging statement: logger.info(""Registered signal handlers for [TERM, HUP, INT]"")","Registered signal handlers for [TERM, HUP, INT]"
"17/06/09 20:10:40 INFO spark.SecurityManager: Changing view acls to: yarn,curi
",Changing view acls to: <*>,"Logging statement: logger.info(""Changing view acls to: {}, {}"", ""yarn"", ""curi"")","Changing view acls to: <*>, <*>"
"17/06/09 20:10:40 INFO spark.SecurityManager: Changing modify acls to: yarn,curi
",Changing modify acls to: <*>,"Logging statement: logger.info(""Changing modify acls to: {},{}"", ""yarn"", ""curi"")","Changing modify acls to: <*>,<*>"
"17/06/09 20:10:40 INFO spark.SecurityManager: SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)
","SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","Logging statement: logger.info(""SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set({}); users with modify permissions: Set({})"", ""yarn, curi"", ""yarn, curi"")",SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(<*>); users with modify permissions: Set(<*>)
"17/06/09 20:10:41 INFO spark.SecurityManager: Changing view acls to: yarn,curi
",Changing view acls to: <*>,"Logging statement: logger.info(""Changing view acls to: {}, {}"", ""yarn"", ""curi"")","Changing view acls to: <*>, <*>"
"17/06/09 20:10:41 INFO spark.SecurityManager: Changing modify acls to: yarn,curi
",Changing modify acls to: <*>,"Logging statement: logger.info(""Changing modify acls to: {}, {}"", ""yarn"", ""curi"")","Changing modify acls to: <*>, <*>"
"17/06/09 20:10:41 INFO spark.SecurityManager: SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)
","SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","Logging statement: logger.info(""SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set({}); users with modify permissions: Set({})"", ""yarn, curi"", ""yarn, curi"")",SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(<*>); users with modify permissions: Set(<*>)
"17/06/09 20:10:41 INFO slf4j.Slf4jLogger: Slf4jLogger started
",Slf4jLogger started,"Logging statement: logger.info(""Slf4jLogger started"")",Slf4jLogger started
"17/06/09 20:10:41 INFO Remoting: Starting remoting
",Starting remoting,"Logging statement: logger.info(""Starting remoting"")",Starting remoting
"17/06/09 20:10:41 INFO Remoting: Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904]
",Remoting started; listening on addresses :[<*>],"Logging statement: logger.info(""Remoting started; listening on addresses :[{}]"", ""akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904"")",Remoting started; listening on addresses :[<*>]
"17/06/09 20:10:41 INFO util.Utils: Successfully started service 'sparkExecutorActorSystem' on port 55904.
",Successfully started service 'sparkExecutorActorSystem' on port <*>.,"Logging statement: logger.info(""Successfully started service '{}' on port {}"", ""sparkExecutorActorSystem"", 55904)",Successfully started service '<*>' on port <*>
"17/06/09 20:10:41 INFO storage.DiskBlockManager: Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4
",Created local directory at <*>,"Logging statement: logger.info(""Created local directory at {}"", ""/opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4"")",Created local directory at <*>
"17/06/09 20:10:41 INFO storage.MemoryStore: MemoryStore started with capacity 17.7 GB
",MemoryStore started with capacity <*> GB,"Logging statement: logger.info(""MemoryStore started with capacity {}"", ""17.7 GB"")",MemoryStore started with capacity <*>
"17/06/09 20:10:42 INFO executor.CoarseGrainedExecutorBackend: Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069
",Connecting to driver: <*>,"Logging statement: logger.info(""Connecting to driver: {}"", ""spark://CoarseGrainedScheduler@10.10.34.11:48069"")",Connecting to driver: <*>
"17/06/09 20:10:42 INFO executor.CoarseGrainedExecutorBackend: Successfully registered with driver
",Successfully registered with driver,"Logging statement: logger.info(""Successfully registered with driver"")",Successfully registered with driver
