Log,EventTemplate,LoggingStatement,LogTemplate
"- 1117842974 2005.06.03 R24-M0-N1-C:J13-U11 2005-06-03-16.56.14.254137 R24-M0-N1-C:J13-U11 RAS KERNEL INFO 162 double-hummer alignment exceptions
",<*> double-hummer alignment exceptions,"Logging statement: logger.info(""162 double-hummer alignment exceptions"")",162 double-hummer alignment exceptions
"- 1117843015 2005.06.03 R21-M1-N6-C:J08-U11 2005-06-03-16.56.55.309974 R21-M1-N6-C:J08-U11 RAS KERNEL INFO 141 double-hummer alignment exceptions
",<*> double-hummer alignment exceptions,"Logging statement: logger.info(""141 double-hummer alignment exceptions"")",141 double-hummer alignment exceptions
"APPREAD 1117869872 2005.06.04 R04-M1-N4-I:J18-U11 2005-06-04-00.24.32.432192 R04-M1-N4-I:J18-U11 RAS APP FATAL ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569
",ciod: failed to read message prefix on control stream (CioStream socket to <*>,"Logging statement: logger.error(""ciod: failed to read message prefix on control stream (CioStream socket to {}:{}"")",ciod: failed to read message prefix on control stream (CioStream socket to <*>:<*>
"APPREAD 1117869876 2005.06.04 R27-M1-N4-I:J18-U01 2005-06-04-00.24.36.222560 R27-M1-N4-I:J18-U01 RAS APP FATAL ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33370
",ciod: failed to read message prefix on control stream (CioStream socket to <*>,"Logging statement: logger.error(""ciod: failed to read message prefix on control stream (CioStream socket to {}:{}"")",ciod: failed to read message prefix on control stream (CioStream socket to <*>:<*>
"- 1118193358 2005.06.07 R11-M0-NC-I:J18-U01 2005-06-07-18.15.58.583443 R11-M0-NC-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/p/gb2/glosli/8M_5000K/t800) failed: No such file or directory
",ciod: LOGIN chdir(<*>) failed: No such file or directory,"Logging statement: logger.error(""ciod: LOGIN chdir({}) failed: {}"", ""/p/gb2/glosli/8M_5000K/t800"", ""No such file or directory"")",ciod: LOGIN chdir(<*>) failed: <*>
"KERNDTLB 1118537622 2005.06.11 R30-M0-N9-C:J16-U01 2005-06-11-17.53.42.323869 R30-M0-N9-C:J16-U01 RAS KERNEL FATAL data TLB error interrupt
",data TLB error interrupt,"Logging statement: logger.error(""RAS KERNEL FATAL data TLB error interrupt"")",RAS KERNEL FATAL data TLB error interrupt
"- 1118769991 2005.06.14 R26-M0-NA-C:J04-U11 2005-06-14-10.26.31.242578 R26-M0-NA-C:J04-U11 RAS KERNEL FATAL data store interrupt caused by dcbf.........0
",data store interrupt caused by dcbf.........<*>,"Logging statement: logger.fatal(""data store interrupt caused by {}"", ""dcbf.........0"")",data store interrupt caused by <*>
"- 1118769997 2005.06.14 R26-M0-N2-C:J05-U01 2005-06-14-10.26.37.865134 R26-M0-N2-C:J05-U01 RAS KERNEL FATAL data store interrupt caused by dcbf.........0
",data store interrupt caused by dcbf.........<*>,"Logging statement: logger.fatal(""data store interrupt caused by {}"", ""dcbf.........0"")",data store interrupt caused by <*>
"- 1118770101 2005.06.14 R21-M1-N6-C:J03-U11 2005-06-14-10.28.21.217840 R21-M1-N6-C:J03-U11 RAS KERNEL FATAL program interrupt: illegal instruction......0
",program interrupt: illegal instruction......<*>,"Logging statement: logger.fatal(""program interrupt: {}"", ""illegal instruction......0"")",program interrupt: <*>
"- 1118770236 2005.06.14 R25-M1-N3-C:J14-U11 2005-06-14-10.30.36.559680 R25-M1-N3-C:J14-U11 RAS KERNEL FATAL program interrupt: privileged instruction...0
",program interrupt: privileged instruction...<*>,"Logging statement: logger.error(""program interrupt: {}"", ""privileged instruction...0"")",program interrupt: <*>
"- 1118770918 2005.06.14 R24-M0-N5-C:J05-U01 2005-06-14-10.41.58.776391 R24-M0-N5-C:J05-U01 RAS KERNEL FATAL data store interrupt caused by icbi.........0
",data store interrupt caused by icbi.........<*>,"Logging statement: logger.fatal(""data store interrupt caused by {}"", ""icbi.........0"")",data store interrupt caused by <*>
"- 1118770954 2005.06.14 R26-M0-N4-C:J15-U11 2005-06-14-10.42.34.598602 R26-M0-N4-C:J15-U11 RAS KERNEL FATAL problem state (0=sup,1=usr).......0
","problem state (<*>=sup,<*>=usr).......<*>","Logging statement: logger.error(""problem state (0=sup,1=usr).......{}"", ""0"")","problem state (0=sup,1=usr).......<*>"
"- 1118771014 2005.06.14 R27-M1-NF-C:J03-U11 2005-06-14-10.43.34.293126 R27-M1-NF-C:J03-U11 RAS KERNEL FATAL floating point instr. enabled.....1
",floating point instr. enabled.....<*>,"Logging statement: logger.error(""floating point instr. enabled.....1"")",floating point instr. enabled.....1
"- 1118771384 2005.06.14 R21-M1-N6-C:J13-U11 2005-06-14-10.49.44.238733 R21-M1-N6-C:J13-U11 RAS KERNEL FATAL byte ordering exception.....................0
",byte ordering exception.....................<*>,"Logging statement: logger.fatal(""byte ordering exception....................{}"", ""0"")",byte ordering exception....................<*>
"- 1118772585 2005.06.14 R20-M1-N1-C:J10-U01 2005-06-14-11.09.45.838343 R20-M1-N1-C:J10-U01 RAS KERNEL FATAL problem state (0=sup,1=usr).......0
","problem state (<*>=sup,<*>=usr).......<*>","Logging statement: logger.error(""problem state (0=sup,1=usr).......{}"", ""0"")","problem state (0=sup,1=usr).......<*>"
