Log,EventTemplate,LoggingStatement,LogTemplate
"134681 node-246 unix.hw state_change.unavailable 1077804742 1 Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973)
",Component State Change: Component <*> is in the unavailable state (HWID=<*>),"Logging statement: logger.error(""Component State Change: Component \""{}\"" is in the {} state (HWID={})"", ""SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000"", ""unavailable"", ""1973"")",Component State Change: Component \
"350766 node-109 unix.hw state_change.unavailable 1084680778 1 Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180)
",Component State Change: Component <*> is in the unavailable state (HWID=<*>),"Logging statement: logger.info(""Component State Change: Component \042alt0\042 is in the unavailable state (HWID={})"", ""3180"")",Component State Change: Component \042alt0\042 is in the unavailable state (HWID=<*>)
"344518 node-246 unix.hw state_change.unavailable 1084270955 1 Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089)
",Component State Change: Component <*> is in the unavailable state (HWID=<*>),"Logging statement: logger.info(""Component State Change: Component {} is in the {} state (HWID={})"", ""alt0"", ""unavailable"", ""5089"")",Component State Change: Component <*> is in the <*> state (HWID=<*>)
"344448 node-153 unix.hw state_change.unavailable 1084270952 1 Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088)
",Component State Change: Component <*> is in the unavailable state (HWID=<*>),"Logging statement: logger.info(""Component State Change: Component \042alt0\042 is in the unavailable state (HWID={})"", ""4088"")",Component State Change: Component \042alt0\042 is in the unavailable state (HWID=<*>)
"366633 node-200 unix.hw state_change.unavailable 1085100843 1 Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538)
",Component State Change: Component <*> is in the unavailable state (HWID=<*>),"Logging statement: logger.info(""Component State Change: Component {} is in the {} state (HWID={})"", ""\042alt0\042"", ""unavailable"", ""2538"")",Component State Change: Component <*> is in the <*> state (HWID=<*>)
"366463 node-122 unix.hw state_change.unavailable 1085084674 1 Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480)
",Component State Change: Component <*> is in the unavailable state (HWID=<*>),"Logging statement: logger.info(""Component {} is in the {} state (HWID={})"", ""alt0"", ""unavailable"", 2480)",Component <*> is in the <*> state (HWID=<*>)
"438190 node-228 unix.hw state_change.unavailable 1097194780 1 Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713)
",Component State Change: Component <*> is in the unavailable state (HWID=<*>),"Logging statement: logger.info(""Component State Change: Component \042{}\\042 is in the {} state (HWID={})"", ""alt0"", ""unavailable"", ""3713"")",Component State Change: Component \042<*>\\042 is in the <*> state (HWID=<*>)
"225111 node-10 unix.hw state_change.unavailable 1117296789 1 Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891)
",Component State Change: Component <*> is in the unavailable state (HWID=<*>),"Logging statement: logger.info(""Component State Change: Component \""{}\"" is in the {} state (HWID={})"", ""alt0"", ""unavailable"", ""3891"")",Component State Change: Component \
"360778 node-130 unix.hw state_change.unavailable 1141108031 1 Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478)
",Component State Change: Component <*> is in the unavailable state (HWID=<*>),"Logging statement: logger.info(""Component State Change: Component \042alt0\042 is in the unavailable state (HWID={})"", ""2478"")",Component State Change: Component \042alt0\042 is in the unavailable state (HWID=<*>)
"401569 node-169 unix.hw state_change.unavailable 1142550406 1 Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969)
",Component State Change: Component <*> is in the unavailable state (HWID=<*>),"Logging statement: logger.info(""Component State Change: Component \""{}\"" is in the {} state (HWID={})"", ""alt0"", ""unavailable"", ""2969"")",Component State Change: Component \
"401855 node-187 unix.hw state_change.unavailable 1142553646 1 Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159)
",Component State Change: Component <*> is in the unavailable state (HWID=<*>),"Logging statement: logger.info(""Component {} is in the {} state (HWID={})"", ""alt0"", ""unavailable"", ""4159"")",Component <*> is in the <*> state (HWID=<*>)
"460773 node-199 unix.hw state_change.unavailable 1145552100 1 Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608)
",Component State Change: Component <*> is in the unavailable state (HWID=<*>),"Logging statement: logger.info(""Component {} is in the {} state (HWID={})"", ""alt0"", ""unavailable"", ""2608"")",Component <*> is in the <*> state (HWID=<*>)
"2568643 node-70 action start 1074119817 1 clusterAddMember  (command 1902)
",clusterAddMember (command <*>),"Logging statement: logger.info(""action start: clusterAddMember (command 1902)"")",action start: clusterAddMember (command 1902)
"2570772 node-124 action start 1074123150 1 clusterAddMember  (command 1900)
",clusterAddMember (command <*>),"Logging statement: logger.info(""action={} start, node={}, command={}"", ""clusterAddMember"", ""node-124"", ""1900"")","action=<*> start, node=<*>, command=<*>"
"2571927 node-28 action start 1074125371 1 risBoot  (command 1903)
",risBoot (command <*>),"Logging statement: logger.info(""action {} {} {} {} {}"", ""start"", ""1074125371"", ""1"", ""risBoot"", ""command 1903"")",action <*> <*> <*> <*> <*>
"2572286 node-17 action start 1074126278 1 bootGenvmunix  (command 1903)
",bootGenvmunix (command <*>),"Logging statement: logger.info(""action start {} bootGenvmunix (command 1903)"", ""1074126278"")",action start <*> bootGenvmunix (command 1903)
"2575909 node-162 action start 1074178193 1 boot  (command 1911)
",boot (command <*>),"Logging statement: logger.info(""action start 1074178193 1 boot  (command 1911)"")",action start 1074178193 1 boot  (command 1911)
"2576195 node-181 action start 1074178628 1 boot  (command 1910)
",boot (command <*>),"Logging statement: logger.info(""action start: node={}, timestamp={}, command={}"", ""node-181"", ""1074178628"", ""1910"")","action start: node=<*>, timestamp=<*>, command=<*>"
"2599298 node-198 action start 1074297419 1 boot  (command 1978)
",boot (command <*>),"Logging statement: logger.info(""action start (command {})"", ""1978"")",action start (command <*>)
"2600743 node-57 action start 1074298084 1 boot  (command 1967)
",boot (command <*>),"Logging statement: logger.info(""action start 1074298084 boot (command 1967)"")",action start 1074298084 boot (command 1967)
"2601401 node-184 action start 1074298390 1 wait  (command 1975)
",wait (command <*>),"Logging statement: logger.info(""action start (command {})"", ""1975"")",action start (command <*>)
"2612635 node-88 action start 1074535847 1 boot  (command 1999)
",boot (command <*>),"Logging statement: logger.info(""action start {} boot (command {})"", ""1074535847"", ""1999"")",action start <*> boot (command <*>)
"2608062 node-238 action start 1074461014 1 halt  (command 1982)
",halt (command <*>),"Logging statement: logger.info(""action start {} {} {} {} {}"", ""2608062"", ""node-238"", ""1074461014"", ""1"", ""halt"")",action start <*> <*> <*> <*> <*>
"2607813 node-243 action start 1074459063 1 boot  (command 1981)
",boot (command <*>),"Logging statement: logger.info(""action start {} {}"", ""1074459063"", ""boot"")",action start <*> <*>
"2600616 node-152 action start 1074298056 1 boot  (command 1973)
",boot (command <*>),"Logging statement: logger.info(""action start: node={}, command={}"", ""152"", ""1973"")","action start: node=<*>, command=<*>"
"2601430 node-159 action start 1074298398 1 wait  (command 1973)
",wait (command <*>),"Logging statement: logger.debug(""action start (command {})"", ""1973"")",action start (command <*>)
"3515 node-216 action start 1075629790 1 wait  (command 2057)
",wait (command <*>),"Logging statement: logger.info(""action start: {}"", ""node-216"", ""command 2057"")",action start: <*>
"41108 node-93 action start 1076538873 1 boot  (command 2152)
",boot (command <*>),"Logging statement: logger.info(""action start (command {})"", ""2152"")",action start (command <*>)
"39962 node-134 action start 1076538533 1 wait  (command 2154)
",wait (command <*>),"Logging statement: logger.debug(""action start: {}, command: {}"", ""1076538533"", ""2154"")","action start: <*>, command: <*>"
"38426 node-17 action start 1076537141 1 boot  (command 2141)
",boot (command <*>),"Logging statement: logger.info(""action start: node={}, command={}"", ""node-17"", ""2141"")","action start: node=<*>, command=<*>"
"33697 node-251 action start 1076435713 1 boot  (command 2110)
",boot (command <*>),"Logging statement: logger.info(""action start - node={}, command={}"", ""node-251"", ""2110"")","action start - node=<*>, command=<*>"
