Log,EventTemplate,LoggingStatement,LogTemplate
"20171223-22:15:29:633|Step_StandReportReceiver|30002312|onReceive action: android.intent.action.SCREEN_ON
",onReceive action: android.intent.action.SCREEN_ON,"Logging statement: logger.info(""onReceive action: <*>"", ""android.intent.action.SCREEN_ON"")",onReceive action: <*>
"20171223-22:15:29:635|Step_LSC|30002312|processHandleBroadcastAction action:android.intent.action.SCREEN_ON
",processHandleBroadcastAction action:android.intent.action.SCREEN_ON,"Logging statement: logger.info(""processHandleBroadcastAction action:<*>"", ""android.intent.action.SCREEN_ON"")",processHandleBroadcastAction action:<*>
"20171223-22:15:29:635|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404
",getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,"Logging statement: logger.debug(""getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>"", ""1514038440000"", ""6993"", ""548365"", ""8661"", ""12266"", ""27164404"")",getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>
"20171223-22:15:29:636|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954
",setTodayTotalDetailSteps=<*>,"Logging statement: logger.debug(""setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>"", ""1514038440000"", ""7007"", ""548365"", ""8661"", ""12361"", ""27173954"")",setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>
"20171223-22:15:29:950|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954
",getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,"Logging statement: logger.debug(""getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>"", ""1514038440000"", ""7007"", ""548365"", ""8661"", ""12361"", ""27173954"")",getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>
"20171223-22:15:29:950|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269
",setTodayTotalDetailSteps=<*>,"Logging statement: logger.info(""setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>"", ""1514038440000"", ""7008"", ""548365"", ""8661"", ""12456"", ""27174269"")",setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>
"20171223-22:15:30:632|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269
",getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,"Logging statement: logger.info(""getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>"", ""1514038440000"", ""7008"", ""548365"", ""8661"", ""12456"", ""27174269"")",getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>
"20171223-22:15:30:632|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951
",setTodayTotalDetailSteps=<*>,"Logging statement: logger.info(""setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>"", ""1514038440000"", ""7009"", ""548365"", ""8661"", ""12551"", ""27174951"")",setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>
"20171223-22:15:31:142|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038440000##7009##548365##8661##12551##27174951
",getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,"Logging statement: logger.debug(""getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>"", ""1514038440000"", ""7009"", ""548365"", ""8661"", ""12551"", ""27174951"")",getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>
"20171223-22:15:31:143|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461
",setTodayTotalDetailSteps=<*>,"Logging statement: logger.info(""setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>"", ""1514038440000"", ""7011"", ""548365"", ""8661"", ""12646"", ""27175461"")",setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>
