Log,EventTemplate,LoggingStatement,LogTemplate
"Jun 14 15:16:01 combo sshd(pam_unix)[19939]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 
",authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>,"Logging statement: logger.info(""authentication failure; logname= uid={} euid={} tty=NODEVssh ruser= rhost={}"", ""0"", ""0"", ""218.188.2.4"")",authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
"Jun 14 15:16:02 combo sshd(pam_unix)[19937]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 
",authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>,"Logging statement: logger.error(""authentication failure; logname= uid={} euid={} tty=NODEVssh ruser= rhost={}"", ""0"", ""0"", ""218.188.2.4"")",authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
"Jun 15 02:04:59 combo sshd(pam_unix)[20882]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
",authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>  user=<*>,"Logging statement: logger.error(""authentication failure; logname= uid={} euid={} tty=NODEVssh ruser={} rhost={} user={}"", ""0"", ""0"", ""root"", ""220-135-151-1.hinet-ip.hinet.net"", ""root"")",authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser=<*> rhost=<*> user=<*>
"Jun 15 02:04:59 combo sshd(pam_unix)[20884]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
",authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>  user=<*>,"Logging statement: logger.error(""authentication failure; logname= uid={} euid={} tty=NODEVssh ruser= rhost={} user={}"", ""0"", ""0"", ""220-135-151-1.hinet-ip.hinet.net"", ""root"")",authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>
"Jun 15 02:04:59 combo sshd(pam_unix)[20883]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
",authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>  user=<*>,"Logging statement: logger.error(""authentication failure; logname= uid={} euid={} tty=NODEVssh ruser= rhost={}  user={}"", ""0"", ""0"", ""220-135-151-1.hinet-ip.hinet.net"", ""root"")",authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>  user=<*>
"Jun 15 02:04:59 combo sshd(pam_unix)[20885]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
",authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>  user=<*>,"Logging statement: logger.error(""authentication failure; logname= uid={} euid={} tty=NODEVssh ruser= rhost={} user={}"", ""0"", ""0"", ""220-135-151-1.hinet-ip.hinet.net"", ""root"")",authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>
"Jun 15 02:04:59 combo sshd(pam_unix)[20886]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
",authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>  user=<*>,"Logging statement: logger.info(""authentication failure; logname= uid={} euid={} tty=NODEVssh ruser={} rhost={} user={}"", ""0"", ""0"", ""root"", ""220-135-151-1.hinet-ip.hinet.net"", ""root"")",authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser=<*> rhost=<*> user=<*>
"Jun 15 02:04:59 combo sshd(pam_unix)[20892]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
",authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>  user=<*>,"Logging statement: logger.error(""authentication failure; logname= uid={} euid={} tty=NODEVssh ruser={} rhost={} user={}"", ""0"", ""0"", ""root"", ""220-135-151-1.hinet-ip.hinet.net"", ""root"")",authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser=<*> rhost=<*> user=<*>
"Jun 15 02:04:59 combo sshd(pam_unix)[20893]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
",authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>  user=<*>,"Logging statement: logger.info(""authentication failure; logname= uid={} euid={} tty=NODEVssh ruser= rhost={} user={}"", ""0"", ""0"", ""220-135-151-1.hinet-ip.hinet.net"", ""root"")",authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>
"Jun 15 02:04:59 combo sshd(pam_unix)[20896]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
",authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>  user=<*>,"Logging statement: logger.error(""authentication failure; logname= uid={} euid={} tty=NODEVssh ruser= rhost={} user={}"", ""0"", ""0"", ""220-135-151-1.hinet-ip.hinet.net"", ""root"")",authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>
