Log,EventTemplate,LoggingStatement,LogTemplate
"[10.30 16:49:06] chrome.exe - proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS
",<*> open through proxy <*> HTTPS,"Logging statement: logger.info(""{} open through proxy {} {}"", ""proxy.cse.cuhk.edu.hk:5070"", ""proxy.cse.cuhk.edu.hk:5070"", ""HTTPS"")",<*> open through proxy <*> <*>
"[10.30 16:49:06] chrome.exe - proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS
",<*> open through proxy <*> HTTPS,"Logging statement: logger.info(""{} open through proxy {} {}"", ""proxy.cse.cuhk.edu.hk:5070"", ""proxy.cse.cuhk.edu.hk:5070"", ""HTTPS"")",<*> open through proxy <*> <*>
"[10.30 16:49:06] chrome.exe - proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS
",<*> open through proxy <*> HTTPS,"Logging statement: logger.info(""{} open through proxy {} {}"", ""proxy.cse.cuhk.edu.hk:5070"", ""proxy.cse.cuhk.edu.hk:5070"", ""HTTPS"")",<*> open through proxy <*> <*>
"[10.30 16:49:07] chrome.exe - proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01
","<*> close, <*> sent, <*> received, lifetime <*>","Logging statement: logger.info(""{} close, {} bytes sent, {} bytes received, lifetime {}"", ""proxy.cse.cuhk.edu.hk:5070"", 0, 0, ""00:01"")","<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
"[10.30 16:49:07] chrome.exe - proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS
",<*> open through proxy <*> HTTPS,"Logging statement: logger.info(""{} open through proxy {} {}"", ""proxy.cse.cuhk.edu.hk:5070"", ""proxy.cse.cuhk.edu.hk:5070"", ""HTTPS"")",<*> open through proxy <*> <*>
"[10.30 16:49:07] chrome.exe - proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS
",<*> open through proxy <*> HTTPS,"Logging statement: logger.info(""{} open through proxy {} {}"", ""proxy.cse.cuhk.edu.hk:5070"", ""proxy.cse.cuhk.edu.hk:5070"", ""HTTPS"")",<*> open through proxy <*> <*>
"[10.30 16:49:07] chrome.exe - proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS
",<*> open through proxy <*> HTTPS,"Logging statement: logger.info(""{} open through proxy {} {}"", ""proxy.cse.cuhk.edu.hk:5070"", ""proxy.cse.cuhk.edu.hk:5070"", ""HTTPS"")",<*> open through proxy <*> <*>
"[10.30 16:49:07] chrome.exe - proxy.cse.cuhk.edu.hk:5070 close, 403 bytes sent, 426 bytes received, lifetime <1 sec
","<*> close, <*> sent, <*> received, lifetime <*>","Logging statement: logger.debug(""close, {} bytes sent, {} bytes received, lifetime <1 sec"", 403, 426)","close, <*> bytes sent, <*> bytes received, lifetime <1 sec"
"[10.30 16:49:07] chrome.exe - proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS
",<*> open through proxy <*> HTTPS,"Logging statement: logger.info(""{} open through proxy {} {}"", ""proxy.cse.cuhk.edu.hk:5070"", ""proxy.cse.cuhk.edu.hk:5070"", ""HTTPS"")",<*> open through proxy <*> <*>
"[10.30 16:49:07] chrome.exe - proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS
",<*> open through proxy <*> HTTPS,"Logging statement: logger.info(""{} open through proxy {} {}"", ""proxy.cse.cuhk.edu.hk:5070"", ""proxy.cse.cuhk.edu.hk:5070"", ""HTTPS"")",<*> open through proxy <*> <*>
"[10.30 16:49:07] chrome.exe - proxy.cse.cuhk.edu.hk:5070 close, 451 bytes sent, 18846 bytes (18.4 KB) received, lifetime <1 sec
","<*> close, <*> sent, <*> received, lifetime <*>","Logging statement: logger.info(""{} close, {} bytes sent, {} bytes ({:.1f} KB) received, lifetime <1 sec"", ""proxy.cse.cuhk.edu.hk:5070"", ""451"", ""18846"", 18.4)","<*> close, <*> bytes sent, <*> bytes ({:.1f} KB) received, lifetime <1 sec"
"[10.30 16:49:08] chrome.exe - proxy.cse.cuhk.edu.hk:5070 close, 445 bytes sent, 5174 bytes (5.05 KB) received, lifetime <1 sec
","<*> close, <*> sent, <*> received, lifetime <*>","Logging statement: logger.info(""{} close, {} bytes sent, {} bytes ({} KB) received, lifetime <1 sec"", ""proxy.cse.cuhk.edu.hk:5070"", 445, 5174, ""5.05"")","<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <1 sec"
