Output,EventTemplate
"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false","printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>/.<*> t761}}}, allDrawn= <*>, startingDisplayed = <*>, startingMoved = <*>, isRelaunching = <*>"
"orientation change is complete, call stopFreezingDisplayLocked","orientation change is complete, call stopFreezingDisplayLocked"
Screen frozen for +1s0ms due to Window{ca98d5 u0 com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity},Screen frozen for <*> due to Window{<*> u0 <*>}
startAnimation begin,startAnimation begin
startAnimation end,startAnimation end
Bad activity token: android.os.BinderProxy@2bd79ce,Bad activity token: <*>@<*>
java.lang.ClassCastException: android.os.BinderProxy cannot be cast to com.android.server.am.ActivityRecord$Token,<*>: <*> cannot be cast to <*>$Token
schedulePeek,schedulePeek
onTrackingStarted,onTrackingStarted
onTrackingStopped: true,onTrackingStopped: <*>
isSimPinSecure mSimDatas is null or empty,isSimPinSecure mSimDatas is <*> or empty
*** register callback for com.android.systemui.statusbar.policy.KeyguardMonitor@712d093,*** register callback for <*>@<*>
*** unregister callback for null,*** unregister callback for <*>
[PhoneIntfMgr] getDataEnabled: subId=1 phoneId=1,[PhoneIntfMgr] getDataEnabled: subId=<*> phoneId=<*>
[PhoneIntfMgr] getDataEnabled: subId=1 retVal=true,[PhoneIntfMgr] getDataEnabled: subId=<*> retVal=<*>
START u0 {act=com.tencent.mobileqq.action.MAINACTIVITY flg=0x14000000 cmp=com.tencent.mobileqq/.activity.SplashActivity (has extras)} from uid 10111 on display 0,START u0 {act=<*> flg=<*> cmp=<*> (has extras)} from uid <*> on display <*>
*** unregister callback for com.android.systemui.statusbar.policy.KeyguardMonitor@712d093,*** unregister callback for <*>@<*>
"Start dump, calling from : pid=12782, uid=1000","Start dump, calling from : pid=<*>, uid=<*>"
isBluetoothA2dpOn...,isBluetoothA2dpOn...
isBluetoothScoOn...,isBluetoothScoOn...
getMode...,getMode...
setSpeakerphoneOn  on: true,setSpeakerphoneOn on: <*>
setSpeakerphoneOn on:true,setSpeakerphoneOn on:<*>
Killing 23484:com.android.calendar/u0a13 (adj 906): empty for 1810s,Killing <*> (adj <*>): empty for <*>
Unable to start service Intent { act=com.tencent.android.tpush.action.keepalive cmp=com.qqgame.hlddz/com.tencent.android.tpush.service.XGPushService } U=0: not found,Unable to start service Intent { act=<*> cmp=<*> } U=<*>: not found
unregisterAudioFocusListener...,unregisterAudioFocusListener...
abandonAudioFocus,abandonAudioFocus
"[HSM] stayAwake false uid: 10111, pid: 28601","[HSM] stayAwake <*> uid: <*>, pid: <*>"
Pid:28601 MediaPlayer destructor,Pid:<*> MediaPlayer destructor
Process com.tencent.mobileqq:qzone (pid 12236) has died,Process <*>:qzone (pid <*>) has died
Scheduling restart of crashed service com.tencent.mobileqq/cooperation.qzone.remote.logic.QzoneWebPluginProxyService in 1000ms,Scheduling restart of crashed service <*> in <*>
"new Process app=ProcessRecord{6eaaf00 0:com.tencent.mobileqq:qzone/u0a111}, name: com.tencent.mobileqq:qzone, euid: 0","new Process app=ProcessRecord{<*> <*>}, name: <*>:qzone, euid: <*>"
Start proc 13003:com.tencent.mobileqq:qzone/u0a111 for service com.tencent.mobileqq/cooperation.qzone.remote.logic.QzoneWebPluginProxyService,Start proc <*> for service <*>
enqueueNotificationInternal: pkg=com.tencent.mobileqq id=121 notification=Notification(pri=1 contentView=null vibrate=[100] sound=null tick defaults=0x0 flags=0x11 color=0x00000000 vis=PRIVATE),enqueueNotificationInternal: pkg=<*> id=<*> notification=Notification(pri=<*> contentView=<*> vibrate=[<*>] sound=<*> tick defaults=<*> flags=<*> color=<*> vis=PRIVATE)
getCellLocation is blocked by permission manager uid:10111 pid:28601,getCellLocation is blocked by permission manager uid:<*> pid:<*>
isWiredHeadsetOn...,isWiredHeadsetOn...
"setDataSource(166, 0, 576460752303423487)","setDataSource(<*>, <*>, <*>)"
getStreamVolume  treamType: 5,getStreamVolume treamType: <*>
"updateIsPoweredLocked: wasPowered=false, mIsPowered=false, oldPlugType=0, mPlugType=0, mBatteryLevel=23","updateIsPoweredLocked: wasPowered=<*>, mIsPowered=<*>, oldPlugType=<*>, mPlugType=<*>, mBatteryLevel=<*>"
ACTION_BATTERY_CHANGED AMP: 0; Volt: 0,ACTION_BATTERY_CHANGED AMP: <*>; Volt: <*>
updateChargingLocked: charging=false,updateChargingLocked: charging=<*>
"onReceive, action:android.intent.action.BATTERY_CHANGED","onReceive, action:<*>"
ACTION_BATTERY_CHANGED pluggedType: 0,ACTION_BATTERY_CHANGED pluggedType: <*>
ApStaDisabledState what=155652,ApStaDisabledState what=<*>
DefaultState what=155652,DefaultState what=<*>
battery changed pluggedType: 0,battery changed pluggedType: <*>
ChargingSpeed  Wattage: -1 ST: 5000000 --> 7500000,ChargingSpeed Wattage: <*> ST: <*> --> <*>
handleBatteryUpdate,handleBatteryUpdate
enqueueNotificationInternal: pkg=com.tencent.mm id=4097 notification=Notification(pri=1 contentView=null vibrate=[] sound=null tick defaults=0x0 flags=0x101 color=0x00000000 category=msg vis=PRIVATE),enqueueNotificationInternal: pkg=<*> id=<*> notification=Notification(pri=<*> contentView=<*> vibrate=[<*>] sound=<*> tick defaults=<*> flags=<*> color=<*> category=msg vis=PRIVATE)
START u0 {flg=0x24000000 cmp=com.tencent.mm/.ui.LauncherUI (has extras)} from uid 10112 on display 0,START u0 {flg=<*> cmp=<*> (has extras)} from uid <*> on display <*>
startActivity called from non-Activity context; forcing Intent.FLAG_ACTIVITY_NEW_TASK for: Intent { flg=0x24000000 cmp=com.tencent.mm/.ui.LauncherUI (has extras) },startActivity called from non-Activity context; forcing Intent.FLAG_ACTIVITY_NEW_TASK for: Intent { flg=<*> cmp=<*> (has extras) }
