Output,EventTemplate
isScreenOn true,isScreenOn <*>
"screen status unknown,think screen on","screen status unknown,think screen on"
flushTempCacheToDB by stand,flushTempCacheToDB by stand
Alarm uploadStaticsToDB totalSteps=7163 Calories:153367 Floor:240 Distance:5112,Alarm uploadStaticsToDB totalSteps=<*> Calories:<*> Floor:<*> Distance:<*>
writeDataToDB size 327,writeDataToDB size <*>
"insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode = 4,errorMessage = ERR_DATA_INSERT","insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode = <*>,errorMessage = ERR_DATA_INSERT"
uploadStaticsToDB() onResult  type = 4 obj=true,uploadStaticsToDB() onResult type = <*> obj=<*>
uploadStaticsToDB failed message=true,uploadStaticsToDB failed message=<*>
"saveRealTimeHealthDatasStat() size = 1,totalTime = 48","saveRealTimeHealthDatasStat() size = <*>,totalTime = <*>"
InsertCallBack() onSuccess  type = 0 data=true,InsertCallBack() onSuccess type = <*> data=<*>
InsertEvent success begin:25233975 end:25233979,InsertEvent success begin:<*> end:<*>
setWriteDBLastDataMinute=25233979,setWriteDBLastDataMinute=<*>
setWriteDBLastDataMinute success,setWriteDBLastDataMinute success
flush2DB result success,flush2DB result success
theDayChanged 1514044800216,theDayChanged <*>
initEnviroument,initEnviroument
getStepCounterStatus,getStepCounterStatus
 getStepCounterStatus= true,getStepCounterStatus= <*>
reStartStepCounter,reStartStepCounter
registersensorsuccess: true,registersensorsuccess: <*>
clear(),clear()
tryToRecordAsBasicStepData bWrite true,tryToRecordAsBasicStepData bWrite <*>
setBasicStandardSteps basicStandardStep=3786 restartSteps=0,setBasicStandardSteps basicStandardStep=<*> restartSteps=<*>
setDiffTotalSteps=0,setDiffTotalSteps=<*>
tryToReloadTodayBasicSteps1514044800223|3786|0|0,<*>|<*>|<*>|<*>
reload : 3786 restar 0,reload : <*> restar <*>
next day:steps0mLastReport7214,next day:<*>
setGoalNotifiShownRecord 1514044800237 false,setGoalNotifiShownRecord <*> <*>
closeNotification...,closeNotification...
deleteHealthNotification(),deleteHealthNotification()
"checkCurrentDay a new day comes , reset basicSyncCondition, currentDay is 20171224 oldDay is 20171223","checkCurrentDay a new day comes , reset basicSyncCondition, currentDay is <*> oldDay is <*>"
