Output,EventTemplate
User unknown timed out after 900 seconds at Sat Jun 18 02:23:10 2005,User unknown timed out after <*> seconds at <*>
Received SNMP packet(s) from 67.170.148.126,Received SNMP packet(s) from <*>
*** info [mice.c(1766)]:,*** info [mice.c(<*>)]:
imps2: Auto-detected intellimouse PS/2,<*>: Auto-detected intellimouse <*>
session opened for user root by LOGIN(uid=0),session opened for user <*> by LOGIN(uid=<*>)
ROOT LOGIN ON tty2,ROOT LOGIN ON <*>
authentication failure; logname= uid=0 euid=0 tty=:0 ruser= rhost=,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=
Couldn't authenticate user,Couldn't authenticate user
syslogd startup succeeded,syslogd startup succeeded
"klogd 1.4.1, log source = /proc/kmsg started.","klogd <*>, log source = <*> started."
Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 09:04:50 EDT 2004,Linux version <*> (<*>) (gcc version <*> <*> (Red Hat Linux <*>)) <*> <*> <*> <*> <*> EDT <*>
BIOS-provided physical RAM map:,BIOS-provided physical RAM map:
0MB HIGHMEM available.,<*> HIGHMEM available.
126MB LOWMEM available.,<*> LOWMEM available.
zapping low mappings.,zapping low mappings.
klogd startup succeeded,klogd startup succeeded
On node 0 totalpages: 32430,On node <*> totalpages: <*>
"DMA zone: 4096 pages, LIFO batch:1","DMA zone: <*> pages, LIFO batch:<*>"
"Normal zone: 28334 pages, LIFO batch:6","Normal zone: <*> pages, LIFO batch:<*>"
irqbalance startup succeeded,irqbalance startup succeeded
"HighMem zone: 0 pages, LIFO batch:1","HighMem zone: <*> pages, LIFO batch:<*>"
DMI 2.3 present.,DMI <*> present.
ACPI disabled because your bios is from 2000 and too old,ACPI disabled because your bios is from <*> and too old
You can enable it with acpi=force,You can enable it with acpi=<*>
Built 1 zonelists,Built <*> zonelists
Kernel command line: ro root=LABEL=/ rhgb quiet,Kernel command line: ro root=<*>=<*> rhgb quiet
mapped 4G/4G trampoline to ffff3000.,mapped <*> trampoline to <*>.
Initializing CPU#0,Initializing <*>
"CPU 0 irqstacks, hard=02345000 soft=02344000","CPU <*> irqstacks, hard=<*> soft=<*>"
portmap startup succeeded,portmap startup succeeded
PID hash table entries: 512 (order 9: 4096 bytes),PID hash table entries: <*> (order <*>: <*> bytes)
Detected 731.219 MHz processor.,Detected <*> MHz processor.
Version 1.0.6 Starting,Version <*> Starting
Using tsc for high-res timesource,Using tsc for high-res timesource
