Prompt,Similarist_gt
"<prompt>:0000000f@2016/9/27:20:40:54.786 CSI perf trace:
<extraction>: <START> <*> CSI perf trace: <END>

<prompt>:00000007@2016/9/27:20:30:31.462 CSI perf trace:
<extraction>: <START> <*> CSI perf trace: <END>

<prompt>:00000003@2016/9/28:16:00:46.213 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed875eb5d @0x7fef9d98728 @0x7fef9d98856 @0xffeee474 @0xffeed7de @0xffeedb2f)
<extraction>: <START> <*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>) <END>

<prompt>:00000002@2016/9/28:16:00:46.200 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed875eb5d @0x7fee5c86ade @0x7fee5c52984 @0x7fee5c03665 @0xffeee97c @0xffeed799)
<extraction>: <START> <*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>) <END>

<prompt>:00000001@2016/9/27:20:30:31.455 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f)
<extraction>: <START> <*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>) <END>

",<*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>)
"<prompt>:0000000f@2016/9/27:20:40:54.786 CSI perf trace:
<extraction>: <START> <*> CSI perf trace: <END>

<prompt>:00000007@2016/9/27:20:30:31.462 CSI perf trace:
<extraction>: <START> <*> CSI perf trace: <END>

<prompt>:00000002@2016/9/28:16:00:46.200 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed875eb5d @0x7fee5c86ade @0x7fee5c52984 @0x7fee5c03665 @0xffeee97c @0xffeed799)
<extraction>: <START> <*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>) <END>

<prompt>:00000001@2016/9/27:20:30:31.455 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f)
<extraction>: <START> <*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>) <END>

<prompt>:00000003@2016/9/28:16:00:46.213 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed875eb5d @0x7fef9d98728 @0x7fef9d98856 @0xffeee474 @0xffeed7de @0xffeedb2f)
<extraction>: <START> <*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>) <END>

",<*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>)
"<prompt>:0000000e Created NT transaction (seq 2) result 0x00000000, handle @0xb8
<extraction>: <START> <*> Created NT transaction (seq <*>) result <*>, handle @<*> <END>

<prompt>:00000006 Created NT transaction (seq 1) result 0x00000000, handle @0x218
<extraction>: <START> <*> Created NT transaction (seq <*>) result <*>, handle @<*> <END>

<prompt>:00000006 Created NT transaction (seq 1) result 0x00000000, handle @0x214
<extraction>: <START> <*> Created NT transaction (seq <*>) result <*>, handle @<*> <END>

<prompt>:0000000c ICSITransaction::Commit calling IStorePendingTransaction::Apply - coldpatching=FALSE applyflags=7
<extraction>: <START> <*> ICSITransaction::Commit calling IStorePendingTransaction::Apply - coldpatching=FALSE applyflags=<*> <END>

<prompt>:00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @0x116fa70
<extraction>: <START> <*> IAdvancedInstallerAwareStore_ResolvePendingTransactions (call <*>) (flags = <*>, progress = <*>, phase = <*>, pdwDisposition = @<*> <END>

","<*> IAdvancedInstallerAwareStore_ResolvePendingTransactions (call <*>) (flags = <*>, progress = <*>, phase = <*>, pdwDisposition = @<*>"
"<prompt>:Session: 30546174_91262226 initialized by client WindowsUpdateAgent.
<extraction>: <START> Session: <*>_<*> initialized by client WindowsUpdateAgent. <END>

<prompt>:Session: 30546174_90832202 initialized by client WindowsUpdateAgent.
<extraction>: <START> Session: <*>_<*> initialized by client WindowsUpdateAgent. <END>

<prompt>:Session: 30546173_4294144255 initialized by client WindowsUpdateAgent.
<extraction>: <START> Session: <*>_<*> initialized by client WindowsUpdateAgent. <END>

<prompt>:Session: 30546173_4286503818 initialized by client WindowsUpdateAgent.
<extraction>: <START> Session: <*>_<*> initialized by client WindowsUpdateAgent. <END>

<prompt>:Session: 30546173_4280623482 initialized by client WindowsUpdateAgent.
<extraction>: <START> Session: <*>_<*> initialized by client WindowsUpdateAgent. <END>

",Session: <*>_<*> initialized by client WindowsUpdateAgent.
"<prompt>:Session: 30546174_43599500 initialized by client WindowsUpdateAgent.
<extraction>: <START> Session: <*>_<*> initialized by client WindowsUpdateAgent. <END>

<prompt>:Session: 30546174_91262226 initialized by client WindowsUpdateAgent.
<extraction>: <START> Session: <*>_<*> initialized by client WindowsUpdateAgent. <END>

<prompt>:Session: 30546173_4294144255 initialized by client WindowsUpdateAgent.
<extraction>: <START> Session: <*>_<*> initialized by client WindowsUpdateAgent. <END>

<prompt>:Session: 30546173_4286503818 initialized by client WindowsUpdateAgent.
<extraction>: <START> Session: <*>_<*> initialized by client WindowsUpdateAgent. <END>

<prompt>:Session: 30546173_4280623482 initialized by client WindowsUpdateAgent.
<extraction>: <START> Session: <*>_<*> initialized by client WindowsUpdateAgent. <END>

",Session: <*>_<*> initialized by client WindowsUpdateAgent.
"<prompt>:TrustedInstaller service starts successfully.
<extraction>: <START> TrustedInstaller service starts successfully. <END>

<prompt>:Ending TrustedInstaller initialization.
<extraction>: <START> Ending TrustedInstaller initialization. <END>

<prompt>:Failed to internally open package. [HRESULT = 0x800f0805 - CBS_E_INVALID_PACKAGE]
<extraction>: <START> Failed to internally open package. [HRESULT = <*> - CBS_E_INVALID_PACKAGE] <END>

<prompt>:Starting TrustedInstaller initialization.
<extraction>: <START> Starting TrustedInstaller initialization. <END>

<prompt>:Warning: Unrecognized packageExtended attribute.
<extraction>: <START> Warning: Unrecognized packageExtended attribute. <END>

",Warning: Unrecognized packageExtended attribute.
"<prompt>:SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL]
<extraction>: <START> SQM: Failed to start standard sample upload. [HRESULT = <*> - E_FAIL] <END>

<prompt>:Failed to create backup log cab. [HRESULT = 0x80070001 - ERROR_INVALID_FUNCTION]
<extraction>: <START> Failed to create backup log cab. [HRESULT = <*> - ERROR_INVALID_FUNCTION] <END>

<prompt>:Failed to internally open package. [HRESULT = 0x800f0805 - CBS_E_INVALID_PACKAGE]
<extraction>: <START> Failed to internally open package. [HRESULT = <*> - CBS_E_INVALID_PACKAGE] <END>

<prompt>:Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM]
<extraction>: <START> Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM] <END>

<prompt>:Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM]
<extraction>: <START> Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM] <END>

",Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
"<prompt>:SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL]
<extraction>: <START> SQM: Failed to start standard sample upload. [HRESULT = <*> - E_FAIL] <END>

<prompt>:Failed to create backup log cab. [HRESULT = 0x80070001 - ERROR_INVALID_FUNCTION]
<extraction>: <START> Failed to create backup log cab. [HRESULT = <*> - ERROR_INVALID_FUNCTION] <END>

<prompt>:Failed to internally open package. [HRESULT = 0x800f0805 - CBS_E_INVALID_PACKAGE]
<extraction>: <START> Failed to internally open package. [HRESULT = <*> - CBS_E_INVALID_PACKAGE] <END>

<prompt>:Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM]
<extraction>: <START> Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM] <END>

<prompt>:Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM]
<extraction>: <START> Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM] <END>

",Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
"<prompt>:TrustedInstaller service starts successfully.
<extraction>: <START> TrustedInstaller service starts successfully. <END>

<prompt>:Ending TrustedInstaller initialization.
<extraction>: <START> Ending TrustedInstaller initialization. <END>

<prompt>:Failed to internally open package. [HRESULT = 0x800f0805 - CBS_E_INVALID_PACKAGE]
<extraction>: <START> Failed to internally open package. [HRESULT = <*> - CBS_E_INVALID_PACKAGE] <END>

<prompt>:Starting TrustedInstaller initialization.
<extraction>: <START> Starting TrustedInstaller initialization. <END>

<prompt>:Warning: Unrecognized packageExtended attribute.
<extraction>: <START> Warning: Unrecognized packageExtended attribute. <END>

",Warning: Unrecognized packageExtended attribute.
"<prompt>:SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL]
<extraction>: <START> SQM: Failed to start standard sample upload. [HRESULT = <*> - E_FAIL] <END>

<prompt>:Failed to create backup log cab. [HRESULT = 0x80070001 - ERROR_INVALID_FUNCTION]
<extraction>: <START> Failed to create backup log cab. [HRESULT = <*> - ERROR_INVALID_FUNCTION] <END>

<prompt>:Failed to internally open package. [HRESULT = 0x800f0805 - CBS_E_INVALID_PACKAGE]
<extraction>: <START> Failed to internally open package. [HRESULT = <*> - CBS_E_INVALID_PACKAGE] <END>

<prompt>:Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM]
<extraction>: <START> Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM] <END>

<prompt>:Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM]
<extraction>: <START> Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM] <END>

",Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
